Products Brand Name,Inventory Conversion Inputs Outputs Output Product,Strain Name,Inventory Conversions Batch Name,package_ID,Batch Harvest Date,Batch Lab Results Lab Result URL,Products Vendor Name,Inventory Producer Name,Manufacturing Date
GRÄS Cannabis,Pico De Gallo 3.5g,Pico De Gallo,240124-015,56754,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/a1ae7425-6ecf-4b3c-b829-928cdf349bfe,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Modified Strawnana 3.5g,Modified Strawnana,240124-013,56752,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/c5160025-812e-4e53-af06-0e33bd80ce96,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Fatso 3.5g,Fatso,240124-007,56760,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/c297586e-6e13-4fa3-9fde-a214287a5025,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Kolache 3.5g,Kolache,240124-011,56747,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/71c2c26b-ba5b-4faf-8308-6f9545fd2d82,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,G.I. Jane 3.5g,G.I. Jane,240124-008,56749,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/278e871c-63ed-49d1-912f-016796fba302,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Hula Girl 3.5g,Hula Girl,240124-009,56755,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/aa5fd60a-b291-469c-bb3d-4931fa32033d,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Marilyn Monroe 3.5g,Marilyn Monroe,240124-012,56753,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/c06de5e9-eabe-4b64-820f-b451f8f33e67,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Dosi-Breath 3.5g,Dosi-Breath,240124-005,56759,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Bubble Gum Pop 3.5g,Bubble Gum Pop,240124-004,56748,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/c4e28820-2cf6-4c6e-a67a-ec184904ba7e,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
GRÄS Cannabis,Dough-Z 3.5g,Dough-Z,240124-006,56751,1/23/2024,https://orders.confidentcannabis.com/report/public/pdf/61aecbc5-cd2e-4ae8-8f82-779e40365eb5,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",3/13/2024
DTF - Downtown Flower,Gelato 14g,Gelato,GLTO-240117.0001-W3,56585,1/17/2024,https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981,"Forever 46, LLC - 00000057DCHF00477864",,3/7/2024
DTF - Downtown Flower,Gelato 3.5g,Gelato,GLTO-240117.0001-W3,56581,1/17/2024,https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/7/2024
DTF - Downtown Flower,Gelato 7g,Gelato,GLTO-240117.0001-W3,56584,1/17/2024,https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/7/2024
High Scorez,High Scorez Comboz Infused 4pk Prerolls 2.4g - Mellow Squirt x Cherry Treat,Mellow Squirt x Cherry Treat,MSQ-240117.01-W3-4pkIPR,56877,1/17/2024,,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/18/2024
DTF - Downtown Flower,Sunset Sherb 3.5g - Mid,Sunset Sherb,SSherb-231229.0001-W52,55992,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,2/19/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream,Jet Cream,JtCr-231229.0001-W52,56726,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/5747e61b-b6fe-42df-b912-d6b9f2e8d6e7,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/11/2024
DTF - Downtown Flower,Sunset Sherb 14g - Mid,Sunset Sherb,SSherb-231229.0001-W52,55911,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,2/15/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Dweebz,Dweebz,Dwz-231229.0001-W52,56430,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/b489b2c3-c89e-4206-80c7-c0d4f556d720,"Forever 46, LLC - 00000057DCHF00477864",,3/4/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Sunset Sherb,Sunset Sherb,SSherb-231229.0001-W52,56270,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,2/27/2024
GRÄS Cannabis,Forest Fire 3.5g,Forest Fire,FoFi-231229.0001-W52,56711,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/6f59ce13-b82d-441f-879b-f6126555c5fa,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/11/2024
DTF - Downtown Flower,Gastropop 3.5g - Mid,Gastropop,324s-231229.0001-W52,56181,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f,"Forever 46, LLC - 00000057DCHF00477864",,2/23/2024
DTF - Downtown Flower,Dweebz 3.5g - Signature,Dweebz,Dwz-231229.0001-W52,56345,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/b489b2c3-c89e-4206-80c7-c0d4f556d720,"Forever 46, LLC - 00000057DCHF00477864",,2/28/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Guava Cross,Guava Cross,GuCr-231229.0001-W52,56383,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/13d387b8-6fbd-42f2-8e87-c67fc99b3ad4,"Forever 46, LLC - 00000057DCHF00477864",,2/29/2024
DTF - Downtown Flower,Guava Cross 3.5g - Signature,Guava Cross,GuCr-231229.0001-W52,56294,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/13d387b8-6fbd-42f2-8e87-c67fc99b3ad4,"Forever 46, LLC - 00000057DCHF00477864",,2/28/2024
DTF - Downtown Flower,Forest Fire 3.5g - Mid,Forest Fire,FoFi-231229.0001-W52,56053,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/6f59ce13-b82d-441f-879b-f6126555c5fa,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,Forest Fire 3.5g - Mid,Forest Fire,FoFi-231229.0001-W52,56053,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/6f59ce13-b82d-441f-879b-f6126555c5fa,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
Roaring 20s,Roaring 20s REBALANCE 6 Pack Prerolls 3g - Forest Fire,Forest Fire,FoFi-231229.0001-W52,56746,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/6f59ce13-b82d-441f-879b-f6126555c5fa,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/13/2024
DTF - Downtown Flower,Gastropop 14g - Mid,Gastropop,324s-231229.0001-W52,56054,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Guava Cross,Guava Cross,GuCr-231229.0001-W52,56731,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/13d387b8-6fbd-42f2-8e87-c67fc99b3ad4,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/12/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Wedding Cake,Wedding Cake,WeCa-231229.0001-W52,56172,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/49d86091-b23d-4e06-94b6-4ecd70a844c0,"Forever 46, LLC - 00000057DCHF00477864",,2/23/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Wedding Cake,Wedding Cake,WeCa-231229.0001-W52,56172,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/49d86091-b23d-4e06-94b6-4ecd70a844c0,"Forever 46, LLC - 00000057DCHF00477864",,2/23/2024
GRÄS Cannabis,Sunset Sherb 3.5g,Sunset Sherb,SSherb-231229.0001-W52,56712,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/11/2024
DTF - Downtown Flower,Sunset Sherb 7g - Mid,Sunset Sherb,SSherb-231229.0001-W52,55901,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,2/15/2024
DTF - Downtown Flower,Sunset Sherb 7g - Mid,Sunset Sherb,SSherb-231229.0001-W52,55901,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,2/15/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Sunset Sherb,Sunset Sherb,SSherb-231229.0001-W52,56514,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/84a9fbf1-4d7b-4b62-98ac-95729160cb0a,"Forever 46, LLC - 00000057DCHF00477864",,3/5/2024
DTF - Downtown Flower,Gastropop 7g - Mid,Gastropop,324s-231229.0001-W52,56051,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,Gastropop 7g - Mid,Gastropop,324s-231229.0001-W52,56051,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Jet Cream,Jet Cream,JtCr-231229.0001-W52,56164,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/5747e61b-b6fe-42df-b912-d6b9f2e8d6e7,"Forever 46, LLC - 00000057DCHF00477864",,2/23/2024
DTF - Downtown Flower,Wedding Cake 3.5g - Signature,Wedding Cake,WeCa-231229.0001-W52,55843,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/49d86091-b23d-4e06-94b6-4ecd70a844c0,"Forever 46, LLC - 00000057DCHF00477864",,2/14/2024
DTF - Downtown Flower,Jet Cream 3.5g - Signature,Jet Cream,JtCr-231229.0001-W52,56312,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/5747e61b-b6fe-42df-b912-d6b9f2e8d6e7,"Forever 46, LLC - 00000057DCHF00477864",,2/28/2024
GRÄS Cannabis,Gastropop 3.5g,Gastropop,324s-231229.0001-W52,56700,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/11/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,Dweebz,Dwz-231229.0001-W52,56556,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/b489b2c3-c89e-4206-80c7-c0d4f556d720,"Forever 46, LLC - 00000057DCHF00477864",,3/6/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,Dweebz,Dwz-231229.0001-W52,56556,12/29/2023,https://orders.confidentcannabis.com/report/public/pdf/b489b2c3-c89e-4206-80c7-c0d4f556d720,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/6/2024
High Scorez,High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross,Fatso x Guava Cross,224-231214.01-W50-4pkIPR,56879,12/14/2023,,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/18/2024
DTF - Downtown Flower,Gastropop 3.5g - Mid,Gastropop,324s-231214.0001-W50,56052,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/1bd2b487-9d2b-47b9-920b-ba74d33e5a71,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,Gastropop 7g - Mid,Gastropop,324s-231214.0001-W50,55740,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/1bd2b487-9d2b-47b9-920b-ba74d33e5a71,"Forever 46, LLC - 00000057DCHF00477864",,2/9/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Fatso,Fatso,224-231214.0001-W50,56468,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/5/2024
iLAVA,LAVA Rocks 3.5g - Gastropop,Gastropop,240220-001,56173,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/47732037-461e-4945-9b16-0ecf7f7707fa,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,Fatso 3.5g - Signature,Fatso,224-231214.0001-W50,56293,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711,"Forever 46, LLC - 00000057DCHF00477864",,2/28/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Fatso,Fatso,224-231214.0001-W50,56152,12/14/2023,https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711,"Forever 46, LLC - 00000057DCHF00477864",,2/22/2024
DTF - Downtown Flower,Cherry Treat 3.5g - Signature,Cherry Treat,ChryTrt-231130.0001-W48,55542,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/40789094-58b9-450f-bc9e-b2dbd84ce799,"Forever 46, LLC - 00000057DCHF00477864",,2/5/2024
DTF - Downtown Flower,Blue Dream 3.5g - Mid,Blue Dream,BLDR-231130.0001-W48,55923,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Gello,Gello,Gell-231130.0001-W48,56097,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/21/2024
High Scorez,High Scorez Comboz Infused 4pk Prerolls 2.4g - Cherry Treat x Mendo Dosi,Cherry Treat x Mendo Dosi,ChryTrt-231130.01-W48-4pkIPR,56876,11/30/2023,,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",3/18/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Blue Dream,Blue Dream,BLDR-231130.0001-W48,55579,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,2/6/2024
DTF - Downtown Flower,Cherry Treat 14g Smalls - Signature,Cherry Treat,ChryTrt-231130.0001-W48,55776,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/40789094-58b9-450f-bc9e-b2dbd84ce799,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/12/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,Kosher Kush,235-231130.0001-W48,56458,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,3/4/2024
DTF - Downtown Flower,Gastropop 3.5g - Signature,Gastropop,324s-231130.0001-W48,55546,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/87b5aaad-c03a-4b22-a19f-38d09a8d0218,"Forever 46, LLC - 00000057DCHF00477864",,2/5/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,Kosher Kush,235-231130.0001-W48,56011,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,Kosher Kush,235-231130.0001-W48,56011,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/20/2024
DTF - Downtown Flower,Blue Dream 14g Smalls - Signature,Blue Dream,BLDR-231130.0001-W48,55759,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/12/2024
iLAVA,Lava Rocks 3.5g - Fresh Fritter,Fresh Fritter,240221-001,56364,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/62f333b2-7fb5-49eb-b9a5-7697d0e6ab62,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/21/2024
DTF - Downtown Flower,Fresh Fritter 14g Smalls - Mid,Fresh Fritter,FrFr-231130.0001-W48,55604,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/a3dcdee3-e05b-4875-b67b-3da5f88f16ea,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/6/2024
DTF - Downtown Flower,Fresh Fritter 14g - Mid,Fresh Fritter,FrFr-231130.0001-W48,54995,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/a3dcdee3-e05b-4875-b67b-3da5f88f16ea,"Forever 46, LLC - 00000057DCHF00477864",,1/23/2024
DTF - Downtown Flower,Kosher Kush 3.5g - Signature,Kosher Kush,235-231130.0001-W48,55845,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/14/2024
GRÄS Cannabis,Blue Dream X 3.5g,Blue Dream X,BlDX-231130.0001-W48,55210,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/af86d09b-7369-4cdb-afe3-2ce88423ed6e,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",1/30/2024
DTF - Downtown Flower,Blue Dream 14g - Mid,Blue Dream,BLDR-231130.0001-W48,55116,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,1/25/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Kosher Kush,Kosher Kush,235-231130.0001-W48,55577,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/6/2024
iLAVA,Magma Budder 1g - Fresh Fritter,Fresh Fritter,240130-004,56873,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/db7bb557-28c1-4532-a66c-0738ffe0c183,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",1/30/2024
DTF - Downtown Flower,Gastropop 14g Smalls - Signature,Gastropop,324s-231130.0001-W48,55746,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/87b5aaad-c03a-4b22-a19f-38d09a8d0218,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/9/2024
DTF - Downtown Flower,Gastropop 14g Smalls - Signature,Gastropop,324s-231130.0001-W48,55746,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/87b5aaad-c03a-4b22-a19f-38d09a8d0218,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/9/2024
DTF - Downtown Flower,Strawberry Mo'nana 14g Smalls - Mid,Strawberry Mo'nana,SMo-231130.0001-W48,55739,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/29754aca-4dce-482d-831b-9b5bf1f3d1b6,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/9/2024
DTF - Downtown Flower,Fresh Fritter 7g - Mid,Fresh Fritter,FrFr-231130.0001-W48,54992,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/a3dcdee3-e05b-4875-b67b-3da5f88f16ea,"Forever 46, LLC - 00000057DCHF00477864",,1/23/2024
DTF - Downtown Flower,Kosher Kush 14g Smalls - Signature,Kosher Kush,235-231130.0001-W48,55753,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,
iLAVA,Magma Budder 1g - Blue Dream,Blue Dream,240202-001,56638,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/e06c1caf-a7b5-491c-9361-59475ba6ce14,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/2/2024
iLAVA,Magma Budder 2.5g - Blue Dream,Blue Dream,240202-001,56654,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/e06c1caf-a7b5-491c-9361-59475ba6ce14,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/2/2024
DTF - Downtown Flower,Gello 3.5g - Signature,Gello,Gell-231130.0001-W48,55688,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/7/2024
DTF - Downtown Flower,Blue Dream 7g - Mid,Blue Dream,BLDR-231130.0001-W48,55115,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,
iLAVA,Magma Crumble 2.5g - Blue Dream,Blue Dream,240202-002,56881,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/b11e8b67-2310-42c9-b473-234c9f86f0bf,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/2/2024
iLAVA,Magma Budder 2.5g - Fresh Fritter,Fresh Fritter,240130-004,56874,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/db7bb557-28c1-4532-a66c-0738ffe0c183,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",1/30/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Kosher Kush,Kosher Kush,235-231130.0001-W48,56144,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/22/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Gello,Gello,Gell-231130.0001-W48,55775,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/12/2024
DTF - Downtown Flower,DTF Premium Preroll 1g - Gello,Gello,Gell-231130.0001-W48,55775,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/12/2024
DTF - Downtown Flower,Kosher Kush 3.5g - Signature,Kosher Kush,235-231130.0001-W48,55538,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/3a22db7c-20d6-4a76-a457-c0ee01ff5d9f,"Forever 46, LLC - 00000057DCHF00477864",,2/2/2024
DTF - Downtown Flower,Gello 3.5g - Signature,Gello,Gell-231130.0001-W48,55836,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/13/2024
DTF - Downtown Flower,Gello 3.5g - Signature,Gello,Gell-231130.0001-W48,55836,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/549de380-9697-4fad-b41d-af8b50c4e844,"Forever 46, LLC - 00000057DCHF00477864",,2/13/2024
iLAVA,Magma Budder 2.5g - Kosher Kush,Kosher Kush,240130-003,56625,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/07e4fecd-a791-4f7b-b99b-af08710a41b0,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",1/30/2024
DTF - Downtown Flower,Cherry Treat 3.5g - Signature,Cherry Treat,ChryTrt-231130.0001-W48,56292,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/40789094-58b9-450f-bc9e-b2dbd84ce799,"Forever 46, LLC - 00000057DCHF00477864",,2/28/2024
Roaring 20s,Roaring 20s REBALANCE 6 Pack Prerolls 3g - Blue Dream,Blue Dream,BLDR-231130.0001-W48,55543,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,2/5/2024
Roaring 20s,Roaring 20s REBALANCE 6 Pack Prerolls 3g - Blue Dream,Blue Dream,BLDR-231130.0001-W48,55543,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,2/5/2024
DTF - Downtown Flower,Blue Dream 3.5g - Mid,Blue Dream,BLDR-231130.0001-W48,55207,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/bd2344af-cfc6-4119-9ed1-2c77da1d82f3,"Forever 46, LLC - 00000057DCHF00477864",,
GRÄS Cannabis,Blue Dream X 3.5g,Blue Dream X,BlDX-231130.0001-W48,55438,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/af86d09b-7369-4cdb-afe3-2ce88423ed6e,"Forever 46, LLC - 00000057DCHF00477864",,
iLAVA,Magma Crumble 1g - Blue Dream,Blue Dream,240202-002,56880,11/30/2023,https://orders.confidentcannabis.com/report/public/pdf/b11e8b67-2310-42c9-b473-234c9f86f0bf,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2/2/2024
