"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Magma Budder 2.5g - Fatso,56744,231019-003,Fatso,"Forever 46, LLC - 00000057DCHF00477864",10/19/2023,iLAVA,8/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Blue Dream,56638,240202-001,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 2.5g - Gary Satan,56735,231101-002,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",11/1/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Alien Grapevine Fresh Frozen - BULK,56806,230522-005,Alien Grapevine,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Floss Sugar Fresh Frozen - BULK,56811,221014-011,Floss Sugar,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Headband Cookies Fresh Frozen - BULK,56816,56816,Headband Cookies,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Pineapple Express Fresh Frozen - BULK,56825,56825,Pineapple Express,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Strawberry Sequioa Fresh Frozen - BULK,56826,56826,Strawberry Sequoia,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Lucky Funk Fresh Frozen - BULK,56819,220922-001,Lucky Funk,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Frosted Apricots Fresh Frozen - BULK,56813,221014-007,Frosted Apricots,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,1/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Peach Lime Pop Fresh Frozen - BULK,56824,230605-007,Peach Lime Pop,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Forza San Souci Fresh Frozen - BULK,56812,230605-008,Forza San Souci,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Jet Cream,56164,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,DTF - Downtown Flower,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Fatso,56468,224-231214.0001-W50,Fatso,"Forever 46, LLC - 00000057DCHF00477864",3/5/2024,Roaring 20s,12/14/2023,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,56556,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/6/2024,Roaring 20s,12/29/2023,
Gelato 3.5g,56581,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Cherry Treat,55583,ChryTrt-231116.0001-W46,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,
zenzona Vegan Gummies Watermelon 100mg - Indica,55727,221220-002-ZWA,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,
zenzona Vegan Gummies Pineberry 100mg RSO - Indica,55288,221227-003-PB,Blackwater,"Forever 46, LLC - 00000057DCHF00477864",3/13/2023,ZENZONA,12/27/2022,
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,55548,230811-001-IZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",8/21/2023,ZENZONA,6/21/2023,
GOLD Disposable Cartridge 1000mg - Green Dream,56456,231121-006GD2,Green Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Strawberry Cough,56407,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Bubba Kush,56432,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Afghani,56523,230314-008CGAF,Afghani,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Acapulco Gold,56524,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Strawberry Cough,56408,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Bubba Kush,56433,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Guava Cross,56731,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/12/2024,DTF - Downtown Flower,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gelato 3.5g,56581,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Fatso,56468,224-231214.0001-W50,Fatso,"Forever 46, LLC - 00000057DCHF00477864",3/5/2024,Roaring 20s,12/14/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gastropop 3.5g,56700,324s-231229.0001-W52,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream,56726,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,Roaring 20s,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Sunset Sherb 3.5g,56712,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Forest Fire 3.5g,56711,FoFi-231229.0001-W52,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
iLAVA Touch Airless Pump 1.7oz (180mg THC/150mg CBD) - Hybrid,56736,240110-001A,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",1/10/2024,iLAVA,7/25/2023,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,56556,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/6/2024,Roaring 20s,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Gastropop,56621,231107-005,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Fatso,56622,231019-003,Fatso,"Forever 46, LLC - 00000057DCHF00477864",10/19/2023,iLAVA,8/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Kosher Kush,56625,240130-003,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Gastropop,56627,231107-005,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Watermelon 100mg - Indica,56344,221220-002-ZWA,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid,56675,240110-001B,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",1/10/2024,iLAVA,7/25/2023,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,56556,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/6/2024,Roaring 20s,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Sunset Sherb,56514,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",3/5/2024,Roaring 20s,12/29/2023,
GOLD Disposable Cartridge 1000mg - Green Dream,56456,231121-006GD2,Green Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Bubba Kush,56440,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Bubba Kush,56433,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Acapulco Gold,56524,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Strawberry Cough,56407,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Bubba Kush,56432,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Afghani,56523,230314-008CGAF,Afghani,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Strawberry Cough,56408,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
iLAVA Feel 10ML (50mg CBD/100mg THC) Roll-On - Hybrid,56623,230727-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/27/2023,iLAVA,7/1/2021,
Entourage Twilight Gummies 100mg - Blueberry,56279,230104-001-TB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/20/2023,iLAVA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Sunset Sherb 3.5g - Mid,55992,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/19/2024,DTF - Downtown Flower,12/29/2023,
Lava Rocks 3.5g - Fresh Fritter,56364,240221-001,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",2/21/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Lava Rocks 3.5g - Cali Lightning x Gelato,56385,240226-001,Cali Lightning x Gelato,"Forever 46, LLC - 00000057DCHF00477864",2/26/2024,iLAVA,9/18/2023,"Forever 46, LLC - 00000057DCHF00477864"
Jet Cream 3.5g - Signature,56312,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Guava Cross 3.5g - Signature,56294,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Gastropop 3.5g - Mid,56052,324s-231214.0001-W50,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,DTF - Downtown Flower,12/14/2023,
Dweebz 3.5g - Signature,56345,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Strawberry Mo'nana,56168,SMo-230918.0001-W38,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,DTF - Downtown Flower,9/18/2023,
DTF Premium Preroll 1g - Guava Cross,56383,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",2/29/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Gastropop,54486,324s-230918.0001-W38,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,DTF - Downtown Flower,9/18/2023,
DTF Premium Preroll 1g - Dweebz,56430,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/4/2024,DTF - Downtown Flower,12/29/2023,
Cherry Treat 3.5g - Signature,56292,ChryTrt-231130.0001-W48,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,11/30/2023,
iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid,56224,240110-001B,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",1/10/2024,iLAVA,7/25/2023,"Forever 46, LLC - 00000057DCHF00477864"
iLAVA Touch 2.85oz. (250mg CBD/300mg THC) - Hybrid,55736,240110-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",1/10/2024,iLAVA,7/25/2023,
Molecular Live Resin Disposable 1000mg - Wedding Cake,56326,240207-003LR,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Gastropop,56361,240207-004LR,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Forest Fire,56346,240102-005LR,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Cali Lightning,56365,240102-006LR,Cali Lightning,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,12/1/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Fatso,52114,231012-003,Fatso,"Forever 46, LLC - 00000057DCHF00477864",10/12/2023,iLAVA,7/25/2023,
Indica PM Chocolates Dark 100mg,56155,221101-002-IPM,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",2/1/2024,INDICA PM,11/1/2022,
iLAVA Touch Airless Pump 1.7oz (180mg THC/150mg CBD) - Hybrid,54658,230621-001A,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/25/2023,iLAVA,4/19/2023,
iLAVAHEMP Ultra CBD Tincture 500mg,14951,2205005,N/A,"Forever 46, LLC - 00000057DCHF00477864",7/14/2022,iLAVAHEMP,,
iLAVA Feel 10ML (50mg CBD/100mg THC) Roll-On - Hybrid,55896,230727-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/27/2023,iLAVA,7/1/2021,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Purple Punch,56143,231121-006PP,Purple Punch,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
GOLD Disposable Cartridge 1000mg - Maui Wowie,56153,231121-006MW,Maui Wowie,"Forever 46, LLC - 00000057DCHF00477864",2/26/2024,iLAVA,7/17/2023,
GOLD Disposable Cartridge 1000mg - Hawaiian Haze,56318,231121-0062HH,Hawaiian Haze,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - White Widow,55993,230314-008CGWW,White Widow,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 500mg - Green Crack,56089,231121-006GC,Green Crack,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
ClearGold Cartridge 500mg - Cherry Pie,55044,230208-001CGCP,Cherry Pie,"Forever 46, LLC - 00000057DCHF00477864",10/17/2023,iLAVA,5/25/2022,
ClearGold Cartridge 500mg - Blue Widow,56288,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Dream,56290,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Green Crack,56090,231121-006GC,Green Crack,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
ClearGold Cartridge 1000mg - Blue Widow,56289,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Dream,56291,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Dweebz,56430,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/4/2024,DTF - Downtown Flower,12/29/2023,
Jet Cream 3.5g - Signature,56312,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Dweebz 3.5g - Signature,56345,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
