"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1",57395,"iLAVA","Magma Sugar Wax 2.5g - Cherry Treat","240130-001","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/908f2858-e470-42f3-ac5e-b213c678468c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2",57394,"iLAVA","Magma Sugar Wax 1g - Cherry Treat","240130-001","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/908f2858-e470-42f3-ac5e-b213c678468c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3",57383,"iLAVA","Lumen Budder 1g - Cali Lightning","240102-007LR","Cali Lightning","Forever 46, LLC - 00000057DCHF00477864","12/01/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/e371ad05-39f1-427a-81e5-6159789302e1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4",57380,"iLAVA","Magma Crumble 2.5g - Cherry Treat","240130-002","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/833e1c01-96ee-48d7-a69d-e5acddc342f2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5",57379,"iLAVA","Magma Crumble 1g - Cherry Treat","240130-002","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/833e1c01-96ee-48d7-a69d-e5acddc342f2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
