"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1",64219,"iLAVA","Magma Sugar Wax 2.5g - Hibiscuits","241121-002","Hibiscuits","Forever 46, LLC - 00000057DCHF00477864","09/24/2024","12/03/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2",64218,"iLAVA","Magma Sugar Wax 1g - Hibiscuits","241121-002","Hibiscuits","Forever 46, LLC - 00000057DCHF00477864","09/24/2024","12/03/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3",64217,"WANA","Wana Gummies 2:1 (200mg CBD/100mg THC) Yuzu - Hybrid","YUZ03112024","Hybrid Blend","The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED","09/12/2023",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4",64215,"iLAVA","Magma Budder 2.5g - Golden Tropics","241121-004","Golden Tropics","Forever 46, LLC - 00000057DCHF00477864","09/24/2024","12/03/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5",64214,"iLAVA","Magma Budder 1g - Golden Tropics","241121-004","Golden Tropics","Forever 46, LLC - 00000057DCHF00477864","09/24/2024","12/03/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
