"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1",64248,"GRÄS Cannabis","GRAS Tasty Vape 1000mg - Blue Widow","240624-002BW","Blue Widow","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/04/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2",64246,"GRÄS Cannabis","GRAS Tasty Vape 1000mg - Strainbow","240624-002RB","Strainbow","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/04/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3",64241,"GRÄS Cannabis","GRAS Tasty Vape 1000mg - Grape Goji OG","240624-002GGO","Grape Goji OG","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/04/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4",64240,"GRÄS Cannabis","GRAS Tasty Vape 1000mg - Lychee Dream","240624-002LD","Lychee Dream","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/04/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
