"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","MGJ60271924","Mellow Vibes","Mellow Vibes Jelly Mango Guava 100mg - Hybrid","MGJ602","OG Kush","Life Changers Investments LLC (Cookies - Tempe) - REC/Manufacturing","06/05/2024",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","62349","iLAVA","LAVA Rocks 3.5g - Forest Fire","240905-003","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","07/16/2024",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/aa8ed855-06f7-41c1-a82e-ef80a0ee60bc","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","62304","22 Red","Zookies 14g","ZKS30524-H","Zookies","The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED","03/05/2024",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","62303","STIIIZY","Stiiizy 40's Infused Preroll Pack 2.5g - Pineapple Express","ST-40MPEX-E1424","Pineapple Express","The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED","04/05/2024",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","62276","DTF - Downtown Flower","Glitterati 14g","GLTR-240716.0001-W29","Glitterati","Forever 46, LLC - 00000057DCHF00477864","07/16/2024",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/988961db-93e8-4efe-b290-06d7f0d8328d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","62274","GRÄS Cannabis","Big MC 3.5g","20240603R2ABGM","Big MC","Forever 46, LLC - 00000057DCHF00477864","06/03/2024",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/510c314d-c654-4328-a095-91e92c9977c0","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","62270","GRÄS Cannabis","Big MC 3.5g","20240708R4BMC","Big MC","Forever 46, LLC - 00000057DCHF00477864","07/08/2024",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/da3b1ba9-1ee9-44d7-905a-745dc4149b53","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
