"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"16","57422","iLAVA","Delta 8 Clarity Cartridge 1000mg - White Widow","230503-014CLWW","White Widow","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","03/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/412442c1-a3ef-47ed-b066-c57a30b24068","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"17","57400","iLAVA","Delta 8 Clarity Cartridge 1000mg - Mimosa","230503-014CLMM","Mimosa","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","03/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/0ba3b233-8c52-41dd-ad70-22ab21715735","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"18","57384","iLAVA","Delta 8 Clarity Cartridge 1000mg - Clementine","230503-014CLCL","Clementine","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","03/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/1731eabf-8ce3-429f-8d61-1791880a9b9e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"19","56849","GRÄS Cannabis","Maui Berry White 3.5g","MBWV10#1","Maui Berry White","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/36328aef-7df0-4cf4-b37f-b224fabebff6","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"20","56845","GRÄS Cannabis","Mr. Bill 3.5g","MRB12","Mr. Bill","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/13cef188-b4a4-466d-81e2-3313d2642995","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"21","56844","GRÄS Cannabis","Tiki Head 3.5g","TKH15","Tiki Head","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/f5a7966d-2383-4e51-837f-9a1a8fb7632b","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"22","56761","GRÄS Cannabis","Apple Burger #1 3.5g","231219-001","Apple Burger #1","Forever 46, LLC - 00000057DCHF00477864","11/15/2023","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/6b38e528-1f42-4811-bf69-1da3de823c02","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"23","56748","GRÄS Cannabis","Bubble Gum Pop 3.5g","240124-004","Bubble Gum Pop","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c4e28820-2cf6-4c6e-a67a-ec184904ba7e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"24","56759","GRÄS Cannabis","Dosi-Breath 3.5g","240124-005","Dosi-Breath","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"25","56751","GRÄS Cannabis","Dough-Z 3.5g","240124-006","Dough-Z","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/61aecbc5-cd2e-4ae8-8f82-779e40365eb5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
