"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","64145","iLAVA","ClearGold Cartridge 1000mg - Do-Si-Dos","240619-001DD","Do-Si-Dos","Forever 46, LLC - 00000057DCHF00477864","2/10/2024","11/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bfca8ab1-e3d8-4f68-a7ca-ac723a9e844f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","64144","iLAVA","ClearGold Cartridge 500mg - Do-Si-Dos","240619-001DD","Do-Si-Dos","Forever 46, LLC - 00000057DCHF00477864","2/10/2024","11/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bfca8ab1-e3d8-4f68-a7ca-ac723a9e844f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
