"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"17","56651","iLAVA","Atomic Cartridge 500mg - Gary Satan","240228-002","Gary Satan","Forever 46, LLC - 00000057DCHF00477864","10/31/2023","2/28/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/e58af08e-f26e-4bc8-9e79-3fac3ba61660","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"18","56645","iLAVA","Atomic Cartridge 500mg - Cherry Treat","240228-001","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/16/2023","2/28/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/5b2fdc9f-a504-4b54-b323-d86d2e759ee9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"19","56585","DTF - Downtown Flower","Gelato 14g","GLTO-240117.0001-W3","Gelato","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/7/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"20","56584","DTF - Downtown Flower","Gelato 7g","GLTO-240117.0001-W3","Gelato","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/7/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"21","57119","DTF - Downtown Flower","DTF Premium Preroll 1g - Fatso","224-231214.0001-W50","Fatso","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"22","57118","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","324s-231214.0001-W50","Gastropop","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/1bd2b487-9d2b-47b9-920b-ba74d33e5a71","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"23","57206","DTF - Downtown Flower","Cherry Treat 14g Smalls - Mid","ChryTrt-240117.0001-W3","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/82b653a7-25af-42c3-8d24-70c8ef2bcecc","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"24","57191","DTF - Downtown Flower","Gary Satan 14g Smalls - Mid","325D-240130.0001-W5","Gary Satan","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"25","57176","DTF - Downtown Flower","Gello 14g Smalls - Mid","Gell-240117.0001-W3","Gello","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"26","57174","DTF - Downtown Flower","Wedding Cake 14g Smalls - Mid","WeCa-240130.0001-W5","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"27","57172","DTF - Downtown Flower","Strawberry Mo'nana 14g Smalls - Mid","SMo-240130.0001-W5","Strawberry Mo'nana","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/13e1ed7e-8135-486c-8845-c1f11af9ef22","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"28","57299","iLAVA","Molecular Live Resin Disposable 1000mg - Gelato","231130-001LR","Gelato","Forever 46, LLC - 00000057DCHF00477864","11/10/2023","11/30/2023","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/c8d1ca46-5b82-4867-9cfa-bcf7e01ad499","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"29","57275","iLAVA","ClearGold Cartridge 500mg - Bubba Kush","240102-001DTFBK","Bubba Kush","Forever 46, LLC - 00000057DCHF00477864","11/22/2023","2/22/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/6bebeae5-3f3c-4928-9e03-ce5332eff8dd","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"30","57320","iLAVA","Molecular Live Resin Disposable 1000mg - Fatso","231121-005LR","Fatso","Forever 46, LLC - 00000057DCHF00477864","11/7/2023","11/21/2023","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/46328fb7-0d5f-45e9-8c3d-3794172a56a9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"31","57164","iLAVA","iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid","240110-001B","Hybrid Blend","Forever 46, LLC - 00000057DCHF00477864","7/25/2023","1/10/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/5fe61f36-b07f-4ac1-9370-6021d1c45ada","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"32","57353","iLAVA","Lumen Budder 1g - Gelato","240216-001","Gelato","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","2/16/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/5785a279-3abc-4850-a070-56e675afe617","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"33","56879","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross","224-231214.01-W50-4pkIPR","Fatso x Guava Cross","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/0130e450-5166-4915-b4ad-b95541d745d5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"34","56877","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Mellow Squirt x Cherry Treat","MSQ-240117.01-W3-4pkIPR","Mellow Squirt x Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8c5680e9-be8f-4b64-a0f8-d5ad46135867","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"35","56876","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Cherry Treat x Mendo Dosi","ChryTrt-231130.01-W48-4pkIPR","Cherry Treat x Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fef4e765-ba7e-42ff-97cb-9723c5e73a7d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"36","56875","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Strawberry Mo'nana x Blue Dream X","SMo-231116.01-W46-4pkIPR","Strawberry Mo'nana x Blue Dream X","Forever 46, LLC - 00000057DCHF00477864","11/16/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8ee1a1ae-2ddc-485b-b741-db7d28d56899","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"37","57395","iLAVA","Magma Sugar Wax 2.5g - Cherry Treat","240130-001","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","1/30/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/908f2858-e470-42f3-ac5e-b213c678468c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"38","57394","iLAVA","Magma Sugar Wax 1g - Cherry Treat","240130-001","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","1/30/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/908f2858-e470-42f3-ac5e-b213c678468c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"39","57383","iLAVA","Lumen Budder 1g - Cali Lightning","240102-007LR","Cali Lightning","Forever 46, LLC - 00000057DCHF00477864","12/1/2023","1/2/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/e371ad05-39f1-427a-81e5-6159789302e1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"40","57380","iLAVA","Magma Crumble 2.5g - Cherry Treat","240130-002","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","1/30/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/833e1c01-96ee-48d7-a69d-e5acddc342f2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"41","57379","iLAVA","Magma Crumble 1g - Cherry Treat","240130-002","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","1/30/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/833e1c01-96ee-48d7-a69d-e5acddc342f2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
