"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240130.0001-W5",57457,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/b5de48df-525b-481f-8ffd-080183c8e57c","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-03"
"2","iLAVA","Molecular Live Resin Disposable 1000mg - Gastropop","Gastropop","240207-004LR",57450,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/4af02bbd-b686-4ebd-90b1-edc705985d17","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-07"
"3","iLAVA","Entourage Night Gummies 100mg - Watermelon","Hybrid Blend","230104-001-WM",57445,"2022-10-03","https://lims.tagleaf.com/coas/UGdOL1A1KgZwiwbkNBNsmlV7BjGyHZkOYeSuuVwJSbRXrgAv8n","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"4","iLAVA","iLAVA Touch Airless Pump 1.7oz (180mg THC/150mg CBD) - Hybrid","Hybrid Blend","240110-001A",57444,"2023-07-25","https://orders.confidentcannabis.com/report/public/pdf/6023f1b3-d7cb-4c98-8dff-e1b655726c8d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-10"
"5","iLAVA","Delta 8 Clarity Cartridge 1000mg - White Widow","White Widow","230503-014CLWW",57422,"2022-10-21","https://orders.confidentcannabis.com/report/public/pdf/412442c1-a3ef-47ed-b066-c57a30b24068","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"6","iLAVA","Lumen Budder 1g - Forest Fire","Forest Fire","240102-004",57402,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/e131c1e5-d503-4836-9a15-c3918f052c34","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-02"
"7","iLAVA","Delta 8 Clarity Cartridge 1000mg - Mimosa","Mimosa","230503-014CLMM",57400,"2022-10-21","https://orders.confidentcannabis.com/report/public/pdf/0ba3b233-8c52-41dd-ad70-22ab21715735","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"8","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240117.0001-W3",57296,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
"9","GRÄS Cannabis","Sunset Sherb 3.5g","Sunset Sherb","SSherb-240130.0001-W5",57294,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/75dfb46c-6a63-4a1f-86c7-5015b3fd907e","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
