"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","ClearGold Cartridge 1000mg - Banana Kush","Banana Kush","231221-005CGBK",57523,"2022-12-27","https://orders.confidentcannabis.com/report/public/pdf/b60b57c7-8970-42d9-87dc-a7e4ca505f02","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-12-21"
"2","iLAVA","ClearGold Cartridge 500mg - Banana Kush","Banana Kush","231221-005CGBK",57522,"2022-12-27","https://orders.confidentcannabis.com/report/public/pdf/b60b57c7-8970-42d9-87dc-a7e4ca505f02","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-12-21"
"3","DTF - Downtown Flower","Mendo Dosi 3.5g","Mendo Dosi","323s-240117.0001-W3",57520,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"4","DTF - Downtown Flower","Gello 7g","Gello","Gell-240117.0001-W3",57518,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"5","DTF - Downtown Flower","Gello 3.5g","Gello","Gell-240117.0001-W3",57517,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"6","DTF - Downtown Flower","Mendo Dosi 7g","Mendo Dosi","323s-240117.0001-W3",57515,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"7","iLAVA","Entourage Day Gummies 100mg - Blood Orange","Hybrid Blend","230104-001-BO",57509,"2022-10-03","https://tinyurl.com/47ee5d4x","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"8","iLAVA","Entourage Twilight Gummies 100mg - Blueberry","Hybrid Blend","230104-001-TB",57508,"2022-10-03","https://tinyurl.com/c5d6w2ef","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"9","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57507,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"10","DTF - Downtown Flower","Gary Satan 3.5g","Gary Satan","325D-240130.0001-W5",57506,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"11","DTF - Downtown Flower","Wedding Cake 3.5g","Wedding Cake","WeCa-240130.0001-W5",57505,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
