"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Batch.Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","Magma Sugar Wax 2.5g - Hibiscuits","Hibiscuits","241121-002",64219,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"2","iLAVA","Magma Sugar Wax 1g - Hibiscuits","Hibiscuits","241121-002",64218,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"3","WANA","Wana Gummies 2:1 (200mg CBD/100mg THC) Yuzu - Hybrid","Hybrid Blend","YUZ03112024",64217,"2023-09-12",NA,"The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED",NA,NA
"4","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Gary Satan","231107-002-BLCR",64216,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/98554efc-9ca1-4424-b246-fe530d85c470","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"5","iLAVA","Magma Budder 2.5g - Golden Tropics","Golden Tropics","241121-004",64215,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"6","iLAVA","Magma Budder 1g - Golden Tropics","Golden Tropics","241121-004",64214,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"7","iLAVA","ClearGold Cartridge 1000mg - Blue Widow","Blue Widow","240624-002BW",64213,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"8","iLAVA","ClearGold Cartridge 500mg - Blue Widow","Blue Widow","240624-002BW",64212,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
