"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Magma Budder 1g - Sonoran Crema,15716,220706-007,Sonoran Crema,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/24/2022,iLAVA,7/5/2022,
Magma Sugar Wax 1g - Jet Fuel Gelato,15710,220603-003,Jet Fuel Gelato,"Forever 46, LLC - 00000057DCHF00477864",7/24/2022,iLAVA,6/2/2022,
Marshmallow OG 28g - Value,15695,0122MOG.43.WT,Marshmallow OG,,7/24/2022,Copperstate,4/19/2022,
Delta 8 Clarity Cartridge 1000mg - Afghani,15691,220121-003CL,Afghani,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",1/20/2022,iLAVA,1/20/2022,
Mandarin Cookies 28g - Value,15690,0422MCS.41.WT,Mandarin Cookies,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/21/2022,Copperstate,5/8/2022,
Magma Budder 1g - Apple Fritter,15608,220706-008,Apple Fritter,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,7/5/2022,
Magma Budder 1g - Ganja Blanca,15534,220629-003,Ganja Blanca,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,6/28/2022,
Magma Budder 1g - Ganja Blanca,15534,220629-003,Ganja Blanca,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,6/28/2022,
Magma Budder 1g - Ephemeral,15528,220629-004,Ephemeral,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,6/28/2022,
zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa,15514,220401-002-HD,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,ZENZONA,3/31/2022,
Molecular Live Resin Cartridge 500mg - Ingrid 3,15492,220621-003,Ingrid 3,"Forever 46, LLC - 00000057DCHF00477864",7/20/2022,iLAVA,6/20/2022,
zenzona Vegan Gummies Watermelon 100mg - Indica,15488,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,ZENZONA,3/31/2022,
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,15477,220401-002-BB,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,ZENZONA,3/31/2022,
ClearGold Cartridge 1000mg - Green Crack,15473,220429-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,4/28/2022,
ClearGold Cartridge 500mg - Green Crack,15472,220429-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/20/2022,iLAVA,4/28/2022,
ClearGold Cartridge 1000mg - Cherry Pie,15453,220602-001CG,Cherry Pie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Green Crack,15451,220602-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Cherry Pie,15450,220602-001CG,Cherry Pie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Green Crack,15449,220602-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Maui Wowie,15444,220602-001CG,Maui Wowie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Jack Herer,15440,220602-001CG,Jack Herer,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Maui Wowie,15439,220602-001CG,Maui Wowie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Jack Herer,15438,220602-001CG,Jack Herer,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Granddaddy Purple,15435,220602-001CG,Granddaddy Purple,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Granddaddy Purple,15430,220602-001CG,Granddaddy Purple,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
zenzona Vegan Gummies Prickly Pear 100mg - Hybrid,15427,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,ZENZONA,3/31/2022,
ClearGold Cartridge 1000mg - Gelato,15426,220602-001CG,Gelato,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Gelato,15422,220602-001CG,Gelato,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
Magma Crumble - Dr. Gonzo,15424,220720-012,Dr. Gonzo,,,iLAVA,7/19/2022,
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,15421,220401-002-BB,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,ZENZONA,3/31/2022,
Magma Crumble - Dr. Gonzo,15420,220720-012,Dr. Gonzo,,,iLAVA,7/19/2022,
ClearGold Cartridge 1000mg - Banana Kush,15399,220602-001CG,Banana Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Banana Kush,15395,220602-001CG,Banana Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Strawberry Cough,15394,220602-001CG,Strawberry Cough,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Strawberry Cough,15391,220602-001CG,Strawberry Cough,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/1/2022,
Delta 8 Clarity Cartridge 1000mg - Green Quack,15373,220601-001CL,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,5/31/2022,
zenzona Vegan Gummies Watermelon 100mg - Indica,15372,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,ZENZONA,3/31/2022,
Molecular Live Resin Cartridge 500mg - Blue Dream X,15351,220623-002,Blue Dream X,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,6/23/2022,
